unitType,make,stockNumber,year,model,color,msrp,unitId,modelName,invoice,holdback,rebate,age,advertisedPrice,structure,hondaCode,vin
ATV SPORT,HONDA,200008,2023,TRX250XP,RED,5299,200008-TRX250XP,FOURTRAX 250X,5230,265,0.00,79,5299,OFF ROAD,257799,1HFTE2741P4200008
ATV UTILITY,HONDA,000818,2024,TRX520FM1R,Avenger Red,7899,000818-TRX520FM1R,FOREMAN 4X4,7492,395,0.00,6,7899,OFF ROAD,258898,1HFTE441XR4000818
ATV UTILITY,HONDA,905020,2023,TRX420FM1P,Black Forest Green,6999,905020-TRX420FM1P,RANCHER 4X4,6709,350,0.00,41,6999,OFF ROAD,257696,1HFTE40K4P4905020
ATV UTILITY,HONDA,905347,2023,TRX420FM1P,Black Forest Green,6999,905347-TRX420FM1P,RANCHER 4X4,6709,350,0.00,58,6999,OFF ROAD,257696,1HFTE40K3P4905347
ATV UTILITY,HONDA,905819,2023,TRX420FM1P,Red,6999,905819-TRX420FM1P,RANCHER 4X4,6709,350,0.00,16,6999,OFF ROAD,257698,1HFTE40K7P4905819
ATV UTILITY,HONDA,900387,2023,TRX420FA2P,Reactor Blue,8199,900387-TRX420FA2P,RANCHER 4X4 AT EPS,7753,410,0.00,84,8199,OFF ROAD,257577,1HFTE4197P4900387
ATV UTILITY,HONDA,800485,2023,TRX420FA6P,Red,8699,800485-TRX420FA6P,RANCHER 4X4 AT IRS EPS,8188,435,0.00,38,8699,OFF ROAD,257538,1HFTE47D6P4800485
ATV UTILITY,HONDA,800491,2023,TRX420FA6P,Red,8699,800491-TRX420FA6P,RANCHER 4X4 AT IRS EPS,8188,435,0.00,38,8699,OFF ROAD,257538,1HFTE47D1P4800491
ATV UTILITY,HONDA,900025,2023,TRX420FM2P,Honda Phantom Camo,8199,900025-TRX420FM2P,RANCHER 4X4 EPS,7753,410,0.00,71,8199,OFF ROAD,257663,1HFTE40P6P4900025
ATV UTILITY,HONDA,900026,2023,TRX420FM2P,Honda Phantom Camo,8199,900026-TRX420FM2P,RANCHER 4X4 EPS,7753,410,0.00,71,8199,OFF ROAD,257663,1HFTE40P8P4900026
ATV UTILITY,HONDA,700141,2023,TRX250TE1P,RED,4949,700141-TRX250TE1P,RECON ES,4926,247,0.00,88,4949,OFF ROAD,257778,1HFTE54A0P4700141
ATV UTILITY,HONDA,700180,2023,TRX250TE1P,Red,4949,700180-TRX250TE1P,RECON ES,4926,247,0.00,57,4949,OFF ROAD,257778,1HFTE54AXP4700180
ATV UTILITY,HONDA,700261,2023,TRX250TE1P,Red,4949,700261-TRX250TE1P,RECON ES,4926,247,0.00,66,4949,OFF ROAD,257778,1HFTE54AXP4700261
ATV YOUTH,HONDA,101014,2023,TRX90XP,Magenta,3349,101014-TRX90XP,TRX90X,3279,167,0.00,38,3349,OFF ROAD,257808,1HFTE5503P4101014
ATV YOUTH,HONDA,100918,2023,TRX90XP,Magenta,3349,100918-TRX90XP,TRX90X,3279,167,0.00,66,3349,OFF ROAD,257808,1HFTE5509P4100918
DIRTBIKE,HONDA,503027,2023,CRF125FP,Red,3399,503027-CRF125FP,CRF125F,3291,170,0.00,22,3399,OFF ROAD,257028,LALJE0342P3503027
DIRTBIKE,HONDA,502696,2023,CRF125FP,Red,3399,502696-CRF125FP,CRF125F,3291,170,0.00,37,3399,OFF ROAD,257028,LALJE0347P3502696
DIRTBIKE,HONDA,503260,2023,CRF125FBP,Red,3799,503260-CRF125FBP,CRF125F BIG WHEEL,3643,190,0.00,37,3799,OFF ROAD,257048,LALJE0375P3503260
DIRTBIKE,HONDA,503828,2023,CRF125FBP,Red,3799,503828-CRF125FBP,CRF125F BIG WHEEL,3643,190,0.00,22,3799,OFF ROAD,257048,LALJE0370P3503828
DIRTBIKE,HONDA,500206,2023,CRF150RBP,RED,5499,500206-CRF150RBP,CRF150RB,5084,275,0.00,115,5499,OFF ROAD,257178,JH2KE03C1PK500206
DIRTBIKE,HONDA,500167,2023,CRF150RBP,RED,5499,500167-CRF150RBP,CRF150RB,5084,275,0.00,115,5499,OFF ROAD,257178,JH2KE03C6PK500167
DIRTBIKE,HONDA,403193,2023,CRF250FP,RED,4899,403193-CRF250FP,CRF250F,4562,245,0.00,79,4899,OFF ROAD,257008,9C2ME1342PR403193
DIRTBIKE,HONDA,403886,2023,CRF250FP,Red,4899,403886-CRF250FP,CRF250F,4562,245,0.00,37,4899,OFF ROAD,257008,9C2ME1340PR403886
DIRTBIKE,HONDA,403897,2023,CRF250FP,Red,4899,403897-CRF250FP,CRF250F,4562,245,0.00,37,4899,OFF ROAD,257008,9C2ME1345PR403897
DIRTBIKE,HONDA,400891,2023,CRF250FP,RED,4899,400891-CRF250FP,CRF250F,4562,245,0.00,126,4899,OFF ROAD,257008,9C2ME1340PR400891
DIRTBIKE,HONDA,403264,2023,CRF250FP,RED,4899,403264-CRF250FP,CRF250F,4562,245,0.00,79,4899,OFF ROAD,257008,9C2ME134XPR403264
DIRTBIKE,HONDA,602356,2023,CRF450RP,Red,9599,602356-CRF450RP,CRF450R,8951,480,0.00,34,9599,OFF ROAD,254628,JH2PE0734PK602356
DIRTBIKE,HONDA,601560,2023,CRF450RP,Red,9599,601560-CRF450RP,CRF450R,8951,480,0.00,51,9599,OFF ROAD,254628,JH2PE0739PK601560
DIRTBIKE,HONDA,301159,2023,CRF450RSP,Red,8799,301159-CRF450RSP,CRF450R-S,8255,440,0.00,44,8799,OFF ROAD,257148,JH2PE07C9PK301159
DIRTBIKE,HONDA,400919,2023,CRF450RXP,Red,9899,400919-CRF450RXP,CRF450RX,9212,495,0.00,34,9899,OFF ROAD,256978,JH2PE1039PK400919
DIRTBIKE YOUTH,HONDA,001241,2022,CRF-E2,RED,2950,001241-CRF-E2,CRF-E2,1950,0,0.00,119,2950,OFF ROAD,EH0000,LGMMWB1Z3N0001241
DIRTBIKE YOUTH,HONDA,001213,2022,CRF-E2,RED,2950,001213-CRF-E2,CRF-E2,1950,0,0.00,119,2950,OFF ROAD,EH0000,LGMMWB1Z9N0001213
DIRTBIKE YOUTH,HONDA,503875,2023,CRF110FP,RED,2599,503875-CRF110FP,CRF110F,2535,78,0.00,154,2599,OFF ROAD,257088,LALJE024XP3503875
DIRTBIKE YOUTH,HONDA,503854,2023,CRF110FP,RED,2599,503854-CRF110FP,CRF110F,2535,78,0.00,154,2599,OFF ROAD,257088,LALJE0242P3503854
DIRTBIKE YOUTH,HONDA,507110,2023,CRF110FP,WHITE,2599,507110-CRF110FP,CRF110F,2535,78,0.00,147,2599,OFF ROAD,257069,LALJE0247P3507110
DIRTBIKE YOUTH,HONDA,702283,2023,CRF50FP,WHITE,1699,702283-CRF50FP,CRF50F,1761,51,0.00,154,1699,OFF ROAD,257111,LALAE0411P3702283
DIRTBIKE YOUTH,HONDA,702112,2023,CRF50FP,WHITE,1699,702112-CRF50FP,CRF50F,1761,51,0.00,154,1699,OFF ROAD,257111,LALAE0417P3702112
DIRTBIKE YOUTH,HONDA,701195,2023,CRF50FP,RED,1699,701195-CRF50FP,CRF50F,1761,51,0.00,199,1699,OFF ROAD,257108,LALAE041XP3701195
DIRTBIKE YOUTH,HONDA,701201,2023,CRF50FP,RED,1699,701201-CRF50FP,CRF50F,1761,51,0.00,199,1699,OFF ROAD,257108,LALAE0411P3701201
GENERATOR,HONDA,560280,2020,EB3000CK2A,Red,1649,560280-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560280
GENERATOR,HONDA,560278,2020,EB3000CK2A,Red,1649,560278-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560278
GENERATOR,HONDA,560276,2020,EB3000CK2A,Red,1649,560276-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560276
GENERATOR,HONDA,560279,2020,EB3000CK2A,Red,1649,560279-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560279
GENERATOR,HONDA,560283,2020,EB3000CK2A,Red,1649,560283-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560283
GENERATOR,HONDA,560285,2020,EB3000CK2A,Red,1649,560285-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560285
GENERATOR,HONDA,560270,2020,EB3000CK2A,Red,1649,560270-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560270
GENERATOR,HONDA,560275,2020,EB3000CK2A,Red,1649,560275-EB3000CK2A,EB3000c,1139,0,0.00,949,1649,OFF ROAD,,EZGP-1560275
GENERATOR,HONDA,517394,2020,EM6500X2AN,Red,3499,517394-EM6500X2AN,EM6500SX,2329,0,0.00,490,3499,OFF ROAD,,EBJC-1517394
GENERATOR,HONDA,662160,2020,EU2200ITAN,RED,1299,662160-EU2200ITAN,EU2200iS,917,0,0.00,315,1299,OFF ROAD,664240,EAMT-2662160
GENERATOR,HONDA,662170,2020,EU2200ITAN,RED,1299,662170-EU2200ITAN,EU2200iS,917,0,0.00,315,1299,OFF ROAD,664240,EAMT-2662170
GENERATOR,HONDA,662172,2020,EU2200ITAN,RED,1299,662172-EU2200ITAN,EU2200iS,917,0,0.00,315,1299,OFF ROAD,664240,EAMT-2662172
GENERATOR,HONDA,530125,2020,EU2200TAN1,RED,1499,530125-EU2200TAN1,EU2200iS Companion,999,0,0.00,295,1499,OFF ROAD,664250,EAMT-2530125
GENERATOR,HONDA,530121,2020,EU2200TAN1,RED,1499,530121-EU2200TAN1,EU2200iS Companion,999,0,0.00,295,1499,OFF ROAD,664250,EAMT-2530121
GENERATOR,HONDA,530126,2020,EU2200TAN1,RED,1499,530126-EU2200TAN1,EU2200iS Companion,999,0,0.00,295,1499,OFF ROAD,664250,EAMT-2530126
GENERATOR,HONDA,673273,2020,EU2200TAN1,RED,1499,673273-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673273
GENERATOR,HONDA,673281,2020,EU2200TAN1,RED,1499,673281-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673281
GENERATOR,HONDA,673274,2020,EU2200TAN1,RED,1499,673274-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673274
GENERATOR,HONDA,673275,2020,EU2200TAN1,RED,1499,673275-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673275
GENERATOR,HONDA,673279,2020,EU2200TAN1,RED,1499,673279-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673279
GENERATOR,HONDA,673280,2020,EU2200TAN1,RED,1499,673280-EU2200TAN1,EU2200iS Companion,1019,0,0.00,274,1499,OFF ROAD,664250,EAMT-2673280
GENERATOR,HONDA,530119,2020,EU2200TAN1,RED,1499,530119-EU2200TAN1,EU2200iS Companion,999,0,0.00,295,1499,OFF ROAD,664250,EAMT-2530119
GENERATOR,HONDA,530127,2020,EU2200TAN1,RED,1499,530127-EU2200TAN1,EU2200iS Companion,999,0,0.00,295,1499,OFF ROAD,664250,EAMT-2530127
GENERATOR,HONDA,892682,2020,EU3000S1AN,Red,2799,892682-EU3000S1AN,EU3000iS,1879,0,0.00,490,2799,OFF ROAD,,EZGF-1892682
GENERATOR,HONDA,892628,2020,EU3000S1AN,Red,2799,892628-EU3000S1AN,EU3000iS,1879,0,0.00,490,2799,OFF ROAD,,EZGF-1892628
GENERATOR,HONDA,358030,2020,EU7000IAN,RED,5999,358030-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1358030
GENERATOR,HONDA,357966,2020,EU7000IAN,RED,5999,357966-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1357966
GENERATOR,HONDA,358009,2020,EU7000IAN,RED,5999,358009-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1358009
GENERATOR,HONDA,357969,2020,EU7000IAN,RED,5999,357969-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1357969
GENERATOR,HONDA,350243,2020,EU7000IAN,RED,5999,350243-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1350243
GENERATOR,HONDA,357968,2020,EU7000IAN,RED,5999,357968-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1357968
GENERATOR,HONDA,336631,2020,EU7000IAN,RED,5999,336631-EU7000IAN,EU7000iS,3729,0,0.00,378,5999,OFF ROAD,,EEJD-1336631
GENERATOR,HONDA,358008,2020,EU7000IAN,RED,5999,358008-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1358008
GENERATOR,HONDA,358031,2020,EU7000IAN,RED,5999,358031-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1358031
