category,unitType,hondaCode,modelYear,model,modelName,color,unitsPerCrate,suggestedRetailPrice,freight,assembly,srpPlusFreightAndAssembly,surcharge,destinationCharge,srpPlusDestAndSurcharge,dealerNet,grossProfit,gpPercentage,retailSalesBonusAmount,rsbPercentage,invoice,setupFlagRate,setupHours,setupPdi,dealerCost,invIncentive,pgmDealerInv,pgmDealerNet,programBulletin,registrationType
AT TRX,ATV UTILITY,254142,2021,TRX250TE1M,RECON ES,ACTIVE YELLOW,1,4549,876.5,212.5,5638,200,420,5169,3731,818,0.18,227,0.05,4378,40,0.5,20,4398,0,4378,3731,null,OFF ROAD
AT TRX,ATV UTILITY,254143,2021,TRX250TE1M,RECON ES,BEIGE,1,4549,876.5,212.5,5638,200,420,5169,3731,818,0.18,227,0.05,4378,40,0.5,20,4398,0,4378,3731,null,OFF ROAD
AT TRX,ATV UTILITY,254148,2021,TRX250TE1M,RECON ES,RED,1,4549,876.5,212.5,5638,200,420,5169,3731,818,0.18,227,0.05,4378,40,0.5,20,4398,0,4378,3731,null,OFF ROAD
AT TRX,ATV UTILITY,255896,2021,TRX250TEM,RECON ES,OLIVE,1,4549,876.5,212.5,5638,200,420,5169,3731,818,0.18,227,0.05,4378,40,0.5,20,4398,0,4378,3731,null,OFF ROAD
AT TRX,ATV UTILITY,254152,2021,TRX250TM1M,RECON,ACTIVE YELLOW,1,4299,876.5,212.5,5388,200,420,4919,3525,774,0.18,215,0.05,4160,40,0.5,20,4180,0,4160,3525,null,OFF ROAD
AT TRX,ATV UTILITY,254153,2021,TRX250TM1M,RECON,BEIGE,1,4299,876.5,212.5,5388,200,420,4919,3525,774,0.18,215,0.05,4160,40,0.5,20,4180,0,4160,3525,null,OFF ROAD
AT TRX,ATV UTILITY,254158,2021,TRX250TM1M,RECON,RED,1,4299,876.5,212.5,5388,200,420,4919,3525,774,0.18,215,0.05,4160,40,0.5,20,4180,0,4160,3525,null,OFF ROAD
AT TRX,ATV UTILITY,255906,2021,TRX250TMM,RECON,OLIVE,1,4299,876.5,212.5,5388,200,420,4919,3525,774,0.18,215,0.05,4160,40,0.5,20,4180,0,4160,3525,null,OFF ROAD
AT TRX,ATV SPORT,254161,2021,TRX250X1M,FOURTRAX 250X,RED,1,5049,876.5,212.5,6138,200,420,5669,4141,908,0.18,252,0.05,4813,40,0.5,20,4833,0,4813,4141,null,OFF ROAD
AT TRX,ATV SPORT,254167,2021,TRX250X1M,FOURTRAX 250X,REACTOR BLUE,1,5049,876.5,212.5,6138,200,420,5669,4141,908,0.18,252,0.05,4813,40,0.5,20,4833,0,4813,4141,null,OFF ROAD
AT TRX,ATV SPORT,254168,2021,TRX250X1M,FOURTRAX 250X,MAGENTA,1,5049,876.5,212.5,6138,200,420,5669,4141,908,0.18,252,0.05,4813,40,0.5,20,4833,0,4813,4141,null,OFF ROAD
